popularity,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,size
0.3455497382198953,0.0,0.75,0.5,0.5,0.5,0.6780606477758038
0.49738219895287966,0.25,0.75,0.75,0.5,0.25,0.5006720281911011
0.49738219895287966,0.0,0.25,0.5,0.0,0.5,0.24272017402128782
0.49738219895287966,0.25,0.5,1.0,0.5,0.5,0.4939014200826267
0.2670157068062827,0.5,0.25,0.5,1.0,0.75,0.2647224622782876
0.9790575916230367,0.0,0.75,0.75,0.5,0.75,0.5433259840362727
0.4869109947643979,0.5,0.75,0.75,0.75,0.75,0.5453562912305983
0.13612565445026178,0.25,0.25,0.5,1.0,0.75,0.3818509192211351
0.7015706806282723,0.5,0.5,0.5,0.25,0.5,0.07718230672195722
0.8167539267015708,0.0,0.0,1.0,0.25,0.25,0.38828387216240245
0.49738219895287966,0.25,0.5,0.25,0.5,0.5,0.7207135095732043
0.49738219895287966,0.5,0.5,0.5,0.5,0.25,0.45361761469452955
0.7748691099476441,0.25,0.75,0.5,0.5,0.25,0.3354740041545194
0.8376963350785341,0.25,0.5,0.5,1.0,0.25,0.35612348364714935
0.9581151832460734,0.25,0.5,1.0,0.5,0.75,0.28604834615310243
0.4712041884816754,0.25,0.75,1.0,1.0,0.75,0.5206451033015462
0.015706806282722516,0.0,0.75,0.25,0.5,0.5,0.1821245443077677
0.49738219895287966,0.0,0.5,0.75,1.0,0.75,0.5622828115017842
0.6963350785340315,0.0,0.25,1.0,0.5,0.5,0.32904105121325194
0.005235602094240838,0.25,0.75,0.5,1.0,0.5,0.5517892441718657
0.041884816753926704,0.25,0.75,1.0,1.0,0.75,0.4905161160283896
0.49738219895287966,0.5,0.5,0.5,1.0,0.25,0.2004038733433232
0.32460732984293195,0.25,0.75,1.0,1.0,0.25,0.517936203629494
0.40314136125654454,0.75,0.5,1.0,0.75,0.5,0.5802244853701327
0.905759162303665,0.5,0.25,0.5,0.25,0.5,0.2329030110735542
0.010471204188481678,0.25,0.5,1.0,1.0,0.75,0.5111666895687905
0.5968586387434556,0.25,0.5,1.0,0.25,0.25,0.5453562912305983
0.9214659685863875,0.25,0.5,1.0,0.25,0.75,0.3212563835553858
0.07853403141361257,0.0,0.5,0.75,0.5,0.5,0.9109647528971289
0.3403141361256545,0.25,0.5,1.0,0.25,0.25,0.7132643089870033
0.38219895287958117,0.25,0.5,0.75,0.5,0.5,0.7335783214079682
0.7539267015706808,0.0,0.25,0.75,0.25,0.75,0.6201684474954812
0.49738219895287966,0.0,0.0,0.75,0.5,0.75,0.4620808748301225
0.49738219895287966,0.0,0.0,0.5,0.25,0.25,0.5402827113403262
0.9842931937172776,0.25,0.25,1.0,0.75,0.75,0.41671911336066947
0.12041884816753928,0.5,0.25,0.5,0.75,1.0,0.08327541640047575
0.49738219895287966,0.25,0.5,0.75,0.5,0.5,0.4062255460307511
0.49738219895287966,0.0,0.5,0.5,0.0,0.25,0.6056142657769117
0.7905759162303666,0.0,0.25,1.0,0.25,0.25,0.49457673041704076
0.8062827225130891,0.25,0.5,0.75,1.0,0.75,0.279955236474584
0.7591623036649215,0.25,0.5,1.0,0.75,0.75,0.4803591098179072
0.3979057591623037,0.5,0.5,1.0,0.5,1.0,0.5727763788317025
0.6020942408376965,0.0,0.5,0.5,0.5,0.5,0.28909490099236174
0.8272251308900525,0.25,0.5,1.0,0.75,0.25,0.4776523982413968
0.39267015706806285,0.25,0.5,0.5,0.25,0.5,0.8283624587355253
0.3769633507853403,0.0,0.5,0.5,0.25,0.0,0.16079537828964002
0.5392670157068064,0.25,0.5,0.5,0.25,0.25,0.07041169861348293
0.49738219895287966,0.25,0.25,0.5,0.75,0.75,0.17501409293654446
0.49738219895287966,0.25,0.5,0.75,0.25,0.25,0.3744028126827049
0.49738219895287966,0.0,0.5,0.75,0.25,0.25,0.29315770347655473
0.49738219895287966,0.0,0.5,0.25,0.5,0.5,0.42010332336713585
0.49214659685863876,0.5,0.5,0.5,0.75,0.75,0.3270107440189265
0.6701570680628273,0.5,0.5,0.5,0.0,0.5,0.33411900729460775
0.49738219895287966,0.0,0.5,0.75,0.25,0.25,0.3818509192211351
0.9005235602094241,1.0,0.5,0.5,0.25,0.25,0.6668873939203875
0.49738219895287966,0.5,0.75,0.5,0.5,0.25,0.2657376158754504
0.8481675392670158,0.25,0.75,0.5,0.25,0.25,0.7037858952542476
0.0,0.25,0.75,1.0,1.0,1.0,0.5243691565707613
0.5130890052356022,0.0,0.0,0.5,1.0,0.5,0.29146505144943613
0.7643979057591624,0.25,0.0,0.5,0.5,0.5,0.19227826837493728
0.49738219895287966,0.0,0.5,0.75,0.75,0.75,0.11238815602869867
0.49738219895287966,0.25,0.5,0.5,1.0,0.25,0.4570051068443086
0.4816753926701571,0.75,0.75,0.5,1.0,0.75,0.8402132110208972
0.36649214659685864,0.5,0.0,0.5,0.25,0.25,0.10968035040441737
0.87434554973822,0.0,0.0,0.5,0.5,1.0,0.12965233146709154
0.18848167539267016,0.75,0.0,0.5,0.5,1.0,0.03520584930674145
0.6910994764397906,0.25,0.25,0.5,0.75,0.5,0.21123509584044875
0.6910994764397906,0.25,0.25,0.5,0.75,0.5,0.10900285197446152
0.14659685863874347,0.0,0.25,0.5,0.5,0.5,0.9972911003279478
0.17277486910994766,0.75,1.0,0.75,1.0,0.75,0.25524404854553195
0.5706806282722514,0.0,0.25,0.75,0.25,0.5,0.1651980240365818
0.3612565445026178,0.0,0.0,0.5,0.25,0.5,0.10358614667812785
0.09424083769633508,1.0,0.0,0.5,1.0,0.5,0.15876507109531446
0.49738219895287966,0.0,0.5,1.0,0.0,0.25,0.41028616041940225
0.49738219895287966,0.0,0.25,1.0,1.0,0.25,0.25693560652487957
0.5287958115183247,0.25,0.5,0.5,0.0,0.0,0.8212563835553859
0.7801047120418849,0.25,0.5,0.5,1.0,0.25,0.2383175282743461
0.20418848167539266,0.25,0.5,0.5,0.75,0.75,0.7948514495514443
0.6544502617801048,0.25,0.5,0.5,0.5,0.75,0.07887495874907582
0.49738219895287966,0.25,0.25,0.75,0.5,0.5,0.271491976338991
0.8586387434554975,0.25,0.5,0.75,0.75,0.75,0.2985744087728883
0.5026178010471205,0.25,0.5,0.5,0.5,0.75,0.4133338093064324
0.9947643979057592,0.25,0.5,0.75,0.5,0.25,0.20040387334332327
